Grid-ref=   1, 148
 3020 2820 3040 2880 1740 1360  980  990 1410 1770 2580 2630,
 3020 2820 3040 2880 1740 1360  980  990 1410 1770 2580 2630,
 3020 2820 3040 2880 1740 1360  980  990 1410 1770 2580 2630,
 3020 2820 3040 2880 1740 1360  980  990 1410 1770 2580 2630,
 3020 2820 3040 2880 1740 1360  980  990 1410 1770 2580 2630,
 3020 2820 3040 2880 1740 1360  980  990 1410 1770 2580 2630,
 3020 2820 3040 2880 1740 1360  980  990 1410 1770 2580 2630,
 3020 2820 3040 2880 1740 1360  980  990 1410 1770 2580 2630,
 3020 2820 3040 2880 1740 1360  980  990 1410 1770 2580 2630,
 3020 2820 3040 2880 1740 1360  980  990 1410 1770 2580 2630,
Grid-ref=   1, 311.0
  490  290  280  230  200  250  440  530  460  420  530  450,
  490  290  280  230  200  250  440  530  460  420  530  450,
  490  290  280  230  200  250  440  530  460  420  530  450,
  490  290  280  230  200  250  440  530  460  420  530  450,
  490  290  280  230  200  250  440  530  460  420  530  450,
  490  290  280  230  200  250  440  530  460  420  530  450,
  490  290  280  230  200  250  440  530  460  420  530  450,
  490  290  280  230  200  250  440  530  460  420  530  450,
  490  290  280  230  200  250  440  530  460  420  530  450,
  490  290  280  230  200  250  440  530  460  420  530  450,
Grid-ref=   1, 312.0
  460  280  260  220  190  240  430  520  450  400  520  410,
  460  280  260  220  190  240  430  520  450  400  520  410,
  460  280  260  220  190  240  430  520  450  400  520  410,
  460  280  260  220  190  240  430  520  450  400  520  410,
  460  280  260  220  190  240  430  520  450  400  520  410,
  460  280  260  220  190  240  430  520  450  400  520  410,
  460  280  260  220  190  240  430  520  450  400  520  410,
  460  280  260  220  190  240  430  520  450  400  520  410,
  460  280  260  220  190  240  430  520  450  400  520  410,
  460  280  260  220  190  240  430  520  450  400  520  410,
